1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
159	-1.137257	109.599000	9.941358	0.011082	2.9
160	-1.143556	109.544059	9.945542	0.007160	2.7
161	-1.148375	109.489118	9.949729	0.007146	2.8
162	-1.146403	110.337278	9.885475	0.012080	2.8
163	-1.163961	110.282337	9.889612	0.005685	2.7
164	-1.095070	111.279072	9.815093	0.014021	2.9
165	-1.179564	112.278986	9.741456	0.014585	2.7
166	-1.116710	113.278986	9.668910	0.010155	2.8
167	-1.089947	114.278927	9.597440	0.010138	3.0
168	-1.140756	114.224177	9.601326	0.012822	2.9
169	-1.135590	114.169248	9.605227	0.010548	2.7
170	-1.166523	115.169118	9.534698	0.004895	2.7
171	-1.108849	115.114188	9.538545	0.009529	3.4
172	-1.150714	115.059388	9.542387	0.010327	2.9
173	-1.140633	116.059386	9.472765	0.007873	2.6
174	-1.150603	116.004463	9.476563	0.006946	2.8
175	-1.143962	116.993897	9.408614	0.007057	2.8
176	-1.123592	116.939491	9.412325	0.006361	2.7
177	-1.119086	116.884714	9.416065	0.008498	3.0
178	-1.133878	117.846933	9.350811	0.006512	2.8
179	-1.119904	117.792015	9.354511	0.008471	3.0
180	-1.118171	118.763080	9.289516	0.013044	2.7
181	-1.160049	119.763080	9.223522	0.009443	3.0
182	-1.132458	120.609335	9.168402	0.009911	2.9
183	-1.077884	121.603353	9.104494	0.011981	2.7
184	-1.147126	122.603352	9.041094	0.008140	2.7
185	-1.114814	123.603352	8.978570	0.004423	2.8
186	-1.125443	123.673739	8.974202	0.007630	2.9
187	-1.111567	123.620424	8.977510	0.010513	2.8
188	-1.084485	124.620331	8.915866	0.013395	2.9
189	-1.181868	124.565390	8.919231	0.018206	2.7
190	-1.109820	125.565390	8.858376	0.011505	3.2
191	-1.140521	126.565390	8.798346	0.006370	2.8
192	-1.154422	126.510450	8.801623	0.013730	3.0
193	-1.146101	127.510450	8.742357	0.016779	2.8
194	-1.129445	128.510450	8.683884	0.011193	2.9
195	-1.137891	129.510437	8.626188	0.012886	2.8
196	-1.108776	130.510437	8.569254	0.008360	3.4
197	-1.138626	131.510137	8.513082	0.007925	3.0
198	-1.164196	131.455219	8.516149	0.009966	2.8
199	-1.133742	132.455219	8.460653	0.006425	2.7
200	-1.137065	132.793729	8.442031	0.008373	2.8
201	-1.121715	132.739534	8.445007	0.008834	3.0
202	-1.168255	133.739527	8.390431	0.004431	3.0
203	-1.145478	133.684727	8.393404	0.007198	2.7
204	-1.159158	133.695998	8.392792	0.005990	2.8
205	-1.155159	133.643315	8.395651	0.009574	3.3
206	-1.092389	134.642085	8.341776	0.008789	2.9
207	-1.156167	135.642085	8.288522	0.006777	3.6
208	-1.147832	136.638785	8.236116	0.011078	3.6
209	-1.130103	136.584075	8.238976	0.007833	3.1
210	-1.167792	137.584051	8.187024	0.013552	2.7
211	-1.123573	138.568406	8.136519	0.007809	2.8
212	-1.078809	139.544693	8.087040	0.006542	2.9
213	-1.125382	139.489759	8.089808	0.014359	2.9
214	-1.126626	139.530587	8.087751	0.008229	2.8
215	-1.101029	140.530587	8.037681	0.008087	2.7
216	-1.143472	140.494055	8.039499	0.007208	2.9
217	-1.122970	141.112086	8.008850	0.008739	2.8
218	-1.121304	142.035763	7.963476	0.005506	2.7
219	-1.125474	142.914330	7.920792	0.007042	2.7
220	-1.126582	143.633924	7.886172	0.005171	2.8
221	-1.147486	143.704408	7.882797	0.006684	3.5
222	-1.115402	144.367379	7.851194	0.009992	2.8
223	-1.093327	144.755590	7.832806	0.007082	2.7
224	-1.134416	145.352785	7.804687	0.006756	3.1
225	-1.120647	145.299218	7.807201	0.007730	2.7
226	-1.150558	145.244718	7.809760	0.009200	2.7
227	-1.178708	145.189956	7.812334	0.008997	2.8
228	-1.126281	146.186585	7.765763	0.005679	2.7
229	-1.119762	146.955506	7.730210	0.006813	2.7
230	-1.107773	146.961433	7.729937	0.007533	2.9
231	-1.116700	146.906500	7.732466	0.009332	2.8
232	-1.123061	147.882637	7.687773	0.013231	3.1
233	-1.121343	147.827696	7.690275	0.010810	2.9
234	-1.139803	148.827696	7.644992	0.006550	2.8
235	-1.093997	149.826846	7.600277	0.010693	2.8
236	-1.162575	150.826818	7.556046	0.008864	2.7
237	-1.163984	151.826026	7.512360	0.007415	2.8
238	-1.130501	151.771379	7.514736	0.009658	2.9
239	-1.105899	152.771376	7.471492	0.007161	3.0
240	-1.138587	153.762501	7.429119	0.004228	3.1
241	-1.147131	153.843393	7.425682	0.005978	3.0
